,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
202229,C554373,22371,AIRLINE BAG VINTAGE TOKYO 78,-2,2011-05-24 11:23:00,3.75,16998.0,United Kingdom
246753,C558716,22371,AIRLINE BAG VINTAGE TOKYO 78,-2,2011-07-01 13:22:00,4.25,17888.0,United Kingdom
261333,C559829,22371,AIRLINE BAG VINTAGE TOKYO 78,-2,2011-07-13 09:45:00,3.95,14483.0,United Kingdom
285960,C561966,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2011-08-01 13:11:00,4.13,nan,United Kingdom
300628,C563207,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2011-08-14 12:10:00,4.25,17613.0,United Kingdom
382800,C569954,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2011-10-06 18:34:00,4.25,14792.0,United Kingdom
383200,C570004,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2011-10-07 09:21:00,4.25,13198.0,United Kingdom
462123,C575963,22371,AIRLINE BAG VINTAGE TOKYO 78,-2,2011-11-13 12:30:00,4.25,16794.0,United Kingdom
506374,C579140,22371,AIRLINE BAG VINTAGE TOKYO 78,-1,2011-11-28 13:05:00,4.25,16393.0,United Kingdom
20520,C538059,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-12,2010-12-09 13:38:00,1.45,14205.0,United Kingdom
66005,C541710,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-12,2011-01-21 11:17:00,1.45,14320.0,United Kingdom
142336,C548577,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-96,2011-04-01 10:46:00,1.25,13694.0,United Kingdom
146360,548986,21210,missing,-177,2011-04-05 12:46:00,0.0,nan,United Kingdom
270104,C560540,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-1,2011-07-19 12:26:00,1.45,12415.0,Australia
394063,C570867,21210,SET OF 72 RETROSPOT PAPER  DOILIES,-12,2011-10-12 16:17:00,1.45,12607.0,USA
71522,C542138,16237,SLEEPING CAT ERASERS,-60,2011-01-25 17:21:00,0.21,17368.0,United Kingdom
263147,C559939,22714,CARD BIRTHDAY COWBOY,-12,2011-07-14 10:19:00,0.42,14426.0,United Kingdom
387478,C570290,22812,PACK 3 BOXES CHRISTMAS PANNETONE,-12,2011-10-10 11:54:00,1.95,14665.0,United Kingdom
395168,571024,22812,missing,-270,2011-10-13 12:18:00,0.0,nan,United Kingdom
407622,C571902,22812,PACK 3 BOXES CHRISTMAS PANNETONE,-3,2011-10-19 14:39:00,1.95,14488.0,United Kingdom
486437,C577731,22812,PACK 3 BOXES CHRISTMAS PANETTONE,-6,2011-11-21 13:06:00,1.95,17811.0,United Kingdom
4287,C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2010-12-02 14:23:00,0.03,15838.0,United Kingdom
11511,C537251,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9,2010-12-06 10:45:00,2.55,nan,United Kingdom
44303,C540164,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-6,2011-01-05 12:02:00,2.55,14911.0,EIRE
414618,C572473,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-1,2011-10-24 13:34:00,2.55,18188.0,United Kingdom
394023,C570867,22736,RIBBON REEL MAKING SNOWMEN ,-10,2011-10-12 16:17:00,1.65,12607.0,USA
501800,C578832,22736,RIBBON REEL MAKING SNOWMEN ,-3,2011-11-25 15:18:00,1.65,13069.0,United Kingdom
11503,C537251,22620,4 TRADITIONAL SPINNING TOPS,-8,2010-12-06 10:45:00,1.25,nan,United Kingdom
514989,C579760,22620,4 TRADITIONAL SPINNING TOPS,-2,2011-11-30 15:05:00,1.45,17096.0,United Kingdom
91736,C544118,21705,BAG 500g SWIRLY MARBLES,-12,2011-02-16 11:49:00,1.65,16306.0,United Kingdom
320551,C564997,21705,BAG 500g SWIRLY MARBLES,-7,2011-08-31 16:13:00,1.45,15625.0,United Kingdom
434079,C574028,21705,BAG 500g SWIRLY MARBLES,-1,2011-11-02 12:33:00,1.65,14493.0,United Kingdom
361729,C568370,90199C,5 STRAND GLASS NECKLACE CRYSTAL,-1,2011-09-26 16:43:00,6.35,15154.0,United Kingdom
331035,C565962,22975,SPACEBOY CHILDRENS EGG CUP,-1,2011-09-08 11:25:00,1.25,14410.0,United Kingdom
32630,C539097,22972,CHILDREN'S SPACEBOY MUG,-7,2010-12-16 10:28:00,1.65,12621.0,Germany
326958,C565615,22972,CHILDREN'S SPACEBOY MUG,-10,2011-09-05 15:20:00,1.65,12683.0,France
331036,C565962,22972,CHILDREN'S SPACEBOY MUG,-1,2011-09-08 11:25:00,1.65,14410.0,United Kingdom
394012,C570867,22972,CHILDREN'S SPACEBOY MUG,-12,2011-10-12 16:17:00,1.65,12607.0,USA
414804,C572488,22972,CHILDREN'S SPACEBOY MUG,-1,2011-10-24 13:57:00,1.65,12474.0,Germany
462528,C575980,22972,CHILDREN'S SPACEBOY MUG,-1,2011-11-13 13:39:00,1.65,12867.0,United Kingdom
497456,C578371,22972,CHILDREN'S SPACEBOY MUG,-1,2011-11-24 11:16:00,1.65,14410.0,United Kingdom
519856,C580179,22972,CHILDREN'S SPACEBOY MUG,-1,2011-12-02 11:58:00,1.65,13352.0,United Kingdom
88065,C543755,22568,FELTCRAFT CUSHION OWL,-4,2011-02-11 14:48:00,3.75,14304.0,United Kingdom
250163,C559008,22568,FELTCRAFT CUSHION OWL,-1,2011-07-05 12:44:00,3.75,15518.0,United Kingdom
263150,C559939,22568,FELTCRAFT CUSHION OWL,-4,2011-07-14 10:19:00,3.75,14426.0,United Kingdom
298043,C562969,22568,FELTCRAFT CUSHION OWL,-1,2011-08-11 10:58:00,3.75,12610.0,Italy
390540,C570556,22568,FELTCRAFT CUSHION OWL,-144,2011-10-11 11:10:00,3.39,16029.0,United Kingdom
454462,C575578,22568,FELTCRAFT CUSHION OWL,-2,2011-11-10 11:48:00,3.75,15358.0,United Kingdom
465420,C576231,22568,FELTCRAFT CUSHION OWL,-2,2011-11-14 13:24:00,3.75,14868.0,United Kingdom
493686,578245,22568,?? missing,-170,2011-11-23 12:37:00,0.0,nan,United Kingdom
114743,C546081,85116,BLACK CANDELABRA T-LIGHT HOLDER,-6,2011-03-09 11:23:00,2.1,15974.0,United Kingdom
177703,C552173,85116,BLACK CANDELABRA T-LIGHT HOLDER,-24,2011-05-06 13:06:00,2.1,15144.0,United Kingdom
58344,C541237,22664,TOY TIDY DOLLY GIRL DESIGN,-1,2011-01-14 17:26:00,2.1,13599.0,United Kingdom
237202,C557842,22664,TOY TIDY DOLLY GIRL DESIGN,-1,2011-06-23 10:42:00,2.1,14159.0,United Kingdom
404830,C571695,22664,TOY TIDY DOLLY GIRL DESIGN,-10,2011-10-18 14:46:00,2.1,14776.0,United Kingdom
201841,554328,21609,missing,-46,2011-05-23 16:49:00,0.0,nan,United Kingdom
395564,571037,20669,missing,-25,2011-10-13 12:58:00,0.0,nan,United Kingdom
397247,571130,72802C,check,-37,2011-10-14 10:05:00,0.0,nan,United Kingdom
402438,C571499,72802C,VANILLA SCENT CANDLE JEWELLED BOX,-288,2011-10-17 15:07:00,1.25,12454.0,Spain
418904,C572754,72802C,VANILLA SCENT CANDLE JEWELLED BOX,-36,2011-10-25 17:29:00,1.0,15482.0,United Kingdom
421092,572919,72802C,check,-17,2011-10-26 16:49:00,0.0,nan,United Kingdom
441517,C574584,72802C,VANILLA SCENT CANDLE JEWELLED BOX,-180,2011-11-04 18:11:00,1.0,15482.0,United Kingdom
445107,574757,72802C,damages,-54,2011-11-07 10:08:00,0.0,nan,United Kingdom
456795,575716,72802C,check,-21,2011-11-10 18:00:00,0.0,nan,United Kingdom
514939,C579752,72802C,VANILLA SCENT CANDLE JEWELLED BOX,-1,2011-11-30 14:46:00,3.81,13777.0,United Kingdom
45901,C540307,22109,FULL ENGLISH BREAKFAST PLATE,-24,2011-01-06 12:58:00,3.39,15823.0,United Kingdom
170529,C551316,22109,FULL ENGLISH BREAKFAST PLATE,-4,2011-04-27 15:12:00,3.75,15220.0,United Kingdom
431797,C573750,22109,FULL ENGLISH BREAKFAST PLATE,-2,2011-11-01 09:29:00,3.75,16150.0,United Kingdom
481923,C577391,22109,FULL ENGLISH BREAKFAST PLATE,-2,2011-11-18 17:03:00,3.39,13078.0,United Kingdom
493163,C578164,22109,FULL ENGLISH BREAKFAST PLATE,-1,2011-11-23 11:34:00,3.75,14032.0,United Kingdom
461419,C575940,21811,HANGING HEART WITH BELL,-48,2011-11-13 11:38:00,0.39,17838.0,United Kingdom
472944,576776,21811,check,-240,2011-11-16 13:22:00,0.0,nan,United Kingdom
74088,C542400,22183,CAKE STAND VICTORIAN FILIGREE MED,-1,2011-01-27 15:49:00,5.95,15189.0,United Kingdom
102859,C545040,22183,CAKE STAND VICTORIAN FILIGREE MED,-1,2011-02-27 10:25:00,3.0,13684.0,United Kingdom
210998,C555337,84906,PINK BUTTERFLY CUSHION COVER,-1,2011-06-02 11:13:00,1.95,16729.0,United Kingdom
74452,C542426,22075,6 RIBBONS ELEGANT CHRISTMAS ,-12,2011-01-28 09:32:00,1.65,14146.0,United Kingdom
89781,C543974,21326,AGED GLASS SILVER T-LIGHT HOLDER,-4,2011-02-14 15:20:00,0.65,14606.0,United Kingdom
99531,C544775,21326,AGED GLASS SILVER T-LIGHT HOLDER,-4,2011-02-23 11:35:00,0.65,14211.0,United Kingdom
211287,C555354,21326,AGED GLASS SILVER T-LIGHT HOLDER,-1,2011-06-02 13:26:00,0.65,16566.0,United Kingdom
264836,C560124,21326,AGED GLASS SILVER T-LIGHT HOLDER,-6,2011-07-15 10:36:00,0.65,17440.0,United Kingdom
516186,C579878,21326,AGED GLASS SILVER T-LIGHT HOLDER,-6,2011-11-30 17:12:00,0.65,17340.0,United Kingdom
74453,C542426,22074,6 RIBBONS SHIMMERING PINKS ,-12,2011-01-28 09:32:00,1.65,14146.0,United Kingdom
47484,C540417,20713,JUMBO BAG OWLS,-10,2011-01-07 10:56:00,1.95,13680.0,United Kingdom
87217,C543643,20713,JUMBO BAG OWLS,-1,2011-02-10 17:44:00,1.95,16161.0,United Kingdom
136273,C547958,20713,JUMBO BAG OWLS,-100,2011-03-28 15:18:00,1.65,15032.0,United Kingdom
137183,548069,20713,missing,-22,2011-03-29 12:10:00,0.0,nan,United Kingdom
263884,560039,20713,wrongly marked. 23343 in box,-3100,2011-07-14 14:27:00,0.0,nan,United Kingdom
264925,C560148,20713,JUMBO BAG OWLS,-100,2011-07-15 11:10:00,1.79,15769.0,United Kingdom
380290,C569743,20713,JUMBO BAG OWLS,-30,2011-10-06 10:57:00,2.08,15769.0,United Kingdom
380688,569831,20713,wrongly coded-23343,-800,2011-10-06 12:38:00,0.0,nan,United Kingdom
385514,C570203,20713,JUMBO BAG OWLS,-2,2011-10-07 16:49:00,1.79,15311.0,United Kingdom
514205,579688,21116,missing,-33,2011-11-30 13:51:00,0.0,nan,United Kingdom
250341,C559019,21824,PAINTED METAL STAR WITH HOLLY BELLS,-24,2011-07-05 13:10:00,1.45,14034.0,United Kingdom
418839,572748,21824,check,-103,2011-10-25 16:50:00,0.0,nan,United Kingdom
390718,570595,21823,check,-94,2011-10-11 11:47:00,0.0,nan,United Kingdom
472222,576674,21823,damaged,-6,2011-11-16 12:00:00,0.0,nan,United Kingdom
31464,C538971,22153,ANGEL DECORATION STARS ON DRESS,-48,2010-12-15 11:39:00,0.42,12865.0,Austria
476244,C576968,22153,ANGEL DECORATION STARS ON DRESS,-21,2011-11-17 11:51:00,0.42,13668.0,United Kingdom
516401,C579898,22153,ANGEL DECORATION STARS ON DRESS,-1,2011-12-01 08:32:00,0.42,14299.0,United Kingdom
24915,C538350,85099F,JUMBO BAG STRAWBERRY,-2,2010-12-10 15:01:00,1.65,13798.0,United Kingdom
45147,C540250,85099F,JUMBO BAG STRAWBERRY,-1,2011-01-05 16:02:00,1.65,17511.0,United Kingdom
74147,C542404,85099F,JUMBO BAG STRAWBERRY,-1,2011-01-27 16:08:00,1.95,13534.0,United Kingdom
98644,C544682,85099F,JUMBO BAG STRAWBERRY,-1,2011-02-22 16:29:00,1.65,17511.0,United Kingdom
156350,550133,85099F,missing,-1092,2011-04-14 13:49:00,0.0,nan,United Kingdom
235901,C557653,85099F,JUMBO BAG STRAWBERRY,-1,2011-06-21 17:25:00,2.08,14040.0,United Kingdom
329646,C565848,85099F,JUMBO BAG STRAWBERRY,-1,2011-09-07 12:48:00,2.08,14606.0,United Kingdom
337754,C566467,85099F,JUMBO BAG STRAWBERRY,-14,2011-09-12 18:04:00,2.08,14688.0,United Kingdom
352984,C567708,85099F,JUMBO BAG STRAWBERRY,-3,2011-09-22 09:53:00,2.08,15201.0,United Kingdom
380295,C569743,85099F,JUMBO BAG STRAWBERRY,-120,2011-10-06 10:57:00,1.79,15769.0,United Kingdom
384030,C570099,85099F,JUMBO BAG STRAWBERRY,-2,2011-10-07 12:11:00,1.65,13798.0,United Kingdom
385930,C570221,85099F,JUMBO BAG STRAWBERRY,-3,2011-10-09 12:56:00,2.08,13113.0,United Kingdom
390498,C570552,85099F,JUMBO BAG STRAWBERRY,-100,2011-10-11 11:01:00,1.74,16029.0,United Kingdom
529987,C580767,85099F,JUMBO BAG STRAWBERRY,-1,2011-12-06 10:52:00,2.08,14655.0,United Kingdom
235954,C557663,20717,STRAWBERRY SHOPPER BAG,-12,2011-06-21 17:59:00,1.25,nan,EIRE
268338,C560409,20717,STRAWBERRY SHOPPER BAG,-10,2011-07-18 14:24:00,1.25,16717.0,United Kingdom
11518,C537251,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2010-12-06 10:45:00,2.95,nan,United Kingdom
47475,C540417,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-5,2011-01-07 10:56:00,2.95,13680.0,United Kingdom
83745,C543347,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-02-07 12:44:00,2.95,12472.0,Germany
89210,C543830,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-02-14 09:54:00,2.95,12476.0,Germany
144190,C548731,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-624,2011-04-04 10:12:00,2.55,12755.0,Japan
148792,C549253,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,2011-04-07 12:20:00,2.95,12408.0,Belgium
168326,C551018,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,2011-04-26 11:19:00,2.95,12705.0,Germany
209741,C555273,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-06-01 16:33:00,2.95,12708.0,Germany
217085,C555881,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,2011-06-07 15:37:00,2.95,12473.0,Germany
217774,C555935,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-6,2011-06-08 09:14:00,2.95,12567.0,France
288271,C562147,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,2011-08-03 10:47:00,2.95,16180.0,United Kingdom
297546,C562953,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-1,2011-08-11 10:12:00,2.95,16180.0,United Kingdom
309573,C564094,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-08-23 10:30:00,2.95,16550.0,United Kingdom
319995,C564955,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-2,2011-08-31 13:39:00,2.95,15786.0,United Kingdom
373248,C569318,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-3,2011-10-03 12:14:00,2.95,13505.0,Switzerland
382899,C569973,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,-3,2011-10-06 19:23:00,2.95,12703.0,Germany
11509,C537251,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-4,2010-12-06 10:45:00,2.95,nan,United Kingdom
59955,C541416,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-1,2011-01-17 16:23:00,2.95,14606.0,United Kingdom
185341,C552805,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-6,2011-05-11 12:34:00,2.95,14149.0,United Kingdom
222256,C556414,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-2,2011-06-10 12:14:00,2.95,13985.0,United Kingdom
362246,C568412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-1,2011-09-27 10:54:00,2.95,14456.0,United Kingdom
448283,C575042,22327,ROUND SNACK BOXES SET OF 4 SKULLS,-1,2011-11-08 12:05:00,2.95,16764.0,United Kingdom
6783,C536979,22630,DOLLY GIRL LUNCH BOX,-1,2010-12-03 14:23:00,1.95,17841.0,United Kingdom
19804,C537893,22630,DOLLY GIRL LUNCH BOX,-2,2010-12-09 10:14:00,1.95,12721.0,France
21465,C538081,22630,DOLLY GIRL LUNCH BOX,-33,2010-12-09 14:29:00,1.95,16898.0,United Kingdom
27329,C538530,22630,DOLLY GIRL LUNCH BOX,-33,2010-12-13 10:26:00,1.95,14796.0,United Kingdom
102733,C545033,22630,DOLLY GIRL LUNCH BOX,-192,2011-02-25 16:26:00,1.65,14156.0,EIRE
211135,C555345,22630,DOLLY GIRL LUNCH BOX,-2,2011-06-02 11:51:00,1.95,13267.0,United Kingdom
235934,C557663,22630,DOLLY GIRL LUNCH BOX,-9,2011-06-21 17:59:00,1.95,nan,EIRE
306399,C563752,22630,DOLLY GIRL LUNCH BOX,-1,2011-08-19 10:38:00,1.95,12362.0,Belgium
352933,C567703,22630,DOLLY GIRL LUNCH BOX,-1,2011-09-22 09:38:00,1.95,15810.0,United Kingdom
454398,C575572,22630,DOLLY GIRL LUNCH BOX,-1,2011-11-10 11:33:00,1.95,17528.0,United Kingdom
19444,C537860,21244,BLUE POLKADOT PLATE ,-8,2010-12-08 16:15:00,1.69,16252.0,United Kingdom
83753,C543347,21244,BLUE POLKADOT PLATE ,-2,2011-02-07 12:44:00,1.69,12472.0,Germany
156893,C550181,21244,BLUE POLKADOT PLATE ,-5,2011-04-14 17:43:00,1.69,13069.0,United Kingdom
369983,569121,21244,missing,-38,2011-09-30 13:03:00,0.0,nan,United Kingdom
19445,C537860,21242,RED RETROSPOT PLATE ,-8,2010-12-08 16:15:00,1.69,16252.0,United Kingdom
156895,C550181,21242,RED RETROSPOT PLATE ,-10,2011-04-14 17:43:00,1.69,13069.0,United Kingdom
409408,C572059,21242,RED RETROSPOT PLATE ,-12,2011-10-20 12:45:00,1.69,17346.0,United Kingdom
531413,C580954,21242,RED RETROSPOT PLATE ,-5,2011-12-06 14:19:00,1.69,12967.0,United Kingdom
156894,C550181,21243,PINK  POLKADOT PLATE ,-8,2011-04-14 17:43:00,1.69,13069.0,United Kingdom
4307,C536760,22273,FELTCRAFT DOLL MOLLY,-3,2010-12-02 14:29:00,2.95,17547.0,United Kingdom
101136,C544902,22273,FELTCRAFT DOLL MOLLY,-1,2011-02-24 13:05:00,2.95,12362.0,Belgium
390541,C570556,22273,FELTCRAFT DOLL MOLLY,-720,2011-10-11 11:10:00,2.3,16029.0,United Kingdom
390547,C570556,22273,FELTCRAFT DOLL MOLLY,-720,2011-10-11 11:10:00,2.55,16029.0,United Kingdom
440254,C574526,22273,FELTCRAFT DOLL MOLLY,-2,2011-11-04 13:57:00,2.95,14567.0,United Kingdom
531351,C580917,22273,FELTCRAFT DOLL MOLLY,-1,2011-12-06 13:57:00,2.95,13362.0,United Kingdom
11516,C537251,22940,FELTCRAFT CHRISTMAS FAIRY,-5,2010-12-06 10:45:00,4.25,nan,United Kingdom
19349,C537853,22940,FELTCRAFT CHRISTMAS FAIRY,-1,2010-12-08 15:57:00,4.25,13370.0,United Kingdom
39904,C539711,22940,FELTCRAFT CHRISTMAS FAIRY,-4,2010-12-21 12:38:00,4.25,13319.0,United Kingdom
74270,C542413,22940,FELTCRAFT CHRISTMAS FAIRY,-12,2011-01-27 17:11:00,4.25,16923.0,United Kingdom
529699,C580749,22940,FELTCRAFT CHRISTMAS FAIRY,-12,2011-12-06 09:49:00,0.5,18167.0,United Kingdom
33863,C539302,22759,SET OF 3 NOTEBOOKS IN PARCEL,-12,2010-12-16 17:33:00,1.65,15392.0,United Kingdom
478968,577124,22759,check,-327,2011-11-17 18:41:00,0.0,nan,United Kingdom
497390,C578367,22759,SET OF 3 NOTEBOOKS IN PARCEL,-12,2011-11-24 11:00:00,1.65,14640.0,United Kingdom
66000,C541710,21880,RED RETROSPOT TAPE,-12,2011-01-21 11:17:00,0.65,14320.0,United Kingdom
150144,549326,21738,missing,-5,2011-04-08 10:45:00,0.0,nan,United Kingdom
1981,C536548,22077,6 RIBBONS RUSTIC CHARM,-6,2010-12-01 14:33:00,1.65,12472.0,Germany
45954,C540346,22077,6 RIBBONS RUSTIC CHARM,-4,2011-01-06 13:41:00,1.65,12471.0,Germany
74451,C542426,22077,6 RIBBONS RUSTIC CHARM,-12,2011-01-28 09:32:00,1.65,14146.0,United Kingdom
83749,C543347,22077,6 RIBBONS RUSTIC CHARM,-5,2011-02-07 12:44:00,1.65,12472.0,Germany
130697,C547502,22077,6 RIBBONS RUSTIC CHARM,-1,2011-03-23 12:42:00,1.65,14513.0,United Kingdom
304625,C563586,22077,6 RIBBONS RUSTIC CHARM,-6,2011-08-17 17:19:00,1.65,12697.0,Sweden
78457,542883,21448,missing,-40,2011-02-01 13:07:00,0.0,nan,United Kingdom
24188,C538341,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,-6,2010-12-10 14:03:00,1.65,15514.0,United Kingdom
117027,C546320,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,-4,2011-03-11 09:39:00,1.65,12708.0,Germany
246907,C558745,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,-1,2011-07-01 17:02:00,1.65,14415.0,United Kingdom
11517,C537251,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-8,2010-12-06 10:45:00,2.1,nan,United Kingdom
74280,C542413,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-6,2011-01-27 17:11:00,2.1,16923.0,United Kingdom
439262,C574424,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-1,2011-11-04 11:23:00,2.1,16014.0,United Kingdom
466261,C576324,22141,CHRISTMAS CRAFT TREE TOP ANGEL,-1,2011-11-14 15:10:00,2.1,16161.0,United Kingdom
74271,C542413,22144,CHRISTMAS CRAFT LITTLE FRIENDS,-30,2011-01-27 17:11:00,2.1,16923.0,United Kingdom
395216,C571029,22144,CHRISTMAS CRAFT LITTLE FRIENDS,-12,2011-10-13 12:23:00,2.1,13035.0,United Kingdom
439263,C574424,22144,CHRISTMAS CRAFT LITTLE FRIENDS,-2,2011-11-04 11:23:00,2.1,16014.0,United Kingdom
171761,C551464,22271,FELTCRAFT DOLL ROSIE,-6,2011-04-28 16:15:00,2.95,13085.0,United Kingdom
478926,577113,22271,check,-43,2011-11-17 17:58:00,0.0,nan,United Kingdom
481894,C577369,22271,FELTCRAFT DOLL ROSIE,-2,2011-11-18 16:20:00,2.95,14132.0,United Kingdom
42561,C540007,22274,FELTCRAFT DOLL EMILY,-6,2011-01-04 11:08:00,2.95,15379.0,United Kingdom
47162,C540391,22274,FELTCRAFT DOLL EMILY,-1,2011-01-06 18:02:00,2.95,13047.0,United Kingdom
483902,C577513,22751,FELTCRAFT PRINCESS OLIVIA DOLL,-2,2011-11-20 12:59:00,3.75,18110.0,United Kingdom
69126,C541959,21034,REX CASH+CARRY JUMBO SHOPPER,-10,2011-01-24 12:35:00,0.95,14692.0,United Kingdom
153683,C549786,21034,REX CASH+CARRY JUMBO SHOPPER,-1,2011-04-12 11:58:00,0.95,14071.0,United Kingdom
467905,C576375,21034,REX CASH+CARRY JUMBO SHOPPER,-10,2011-11-15 08:52:00,0.95,16878.0,United Kingdom
250162,C559008,22570,FELTCRAFT CUSHION RABBIT,-1,2011-07-05 12:44:00,3.75,15518.0,United Kingdom
263149,C559939,22570,FELTCRAFT CUSHION RABBIT,-4,2011-07-14 10:19:00,3.75,14426.0,United Kingdom
384187,570110,22570,missing,-74,2011-10-07 12:27:00,0.0,nan,United Kingdom
390538,C570556,22570,FELTCRAFT CUSHION RABBIT,-240,2011-10-11 11:10:00,3.39,16029.0,United Kingdom
415540,572543,22570,missing,-32,2011-10-24 16:24:00,0.0,nan,United Kingdom
88086,C543761,22569,FELTCRAFT CUSHION BUTTERFLY,-1,2011-02-11 15:13:00,3.75,12943.0,United Kingdom
178852,C552241,22569,FELTCRAFT CUSHION BUTTERFLY,-1,2011-05-06 17:38:00,3.75,14676.0,United Kingdom
384222,570112,22569,missing,-84,2011-10-07 12:29:00,0.0,nan,United Kingdom
390539,C570556,22569,FELTCRAFT CUSHION BUTTERFLY,-192,2011-10-11 11:10:00,3.39,16029.0,United Kingdom
171127,C551388,22902,TOTE BAG I LOVE LONDON,-12,2011-04-28 11:41:00,2.1,17874.0,United Kingdom
352765,C567685,22902,TOTE BAG I LOVE LONDON,-12,2011-09-21 16:35:00,2.1,16394.0,United Kingdom
243187,C558433,21708,FOLDING UMBRELLA CREAM POLKADOT,-1,2011-06-29 12:31:00,4.95,14606.0,United Kingdom
29206,C538713,22179,SET 10 LIGHTS NIGHT OWL,-1,2010-12-14 10:53:00,6.75,16570.0,United Kingdom
43561,C540097,22179,SET 10 LIGHTS NIGHT OWL,-4,2011-01-04 15:46:00,6.75,15373.0,United Kingdom
87998,C543741,22179,SET 10 LIGHTS NIGHT OWL,-1,2011-02-11 13:37:00,6.75,13021.0,United Kingdom
88796,C543817,22179,SET 10 LIGHTS NIGHT OWL,-1,2011-02-13 15:28:00,6.75,17841.0,United Kingdom
139769,C548352,22179,SET 10 LIGHTS NIGHT OWL,-1,2011-03-30 14:57:00,6.75,12921.0,United Kingdom
270771,C560585,22179,SET 10 NIGHT OWL LIGHTS,-21,2011-07-19 15:47:00,5.95,13941.0,United Kingdom
24159,C538341,22988,SOLDIERS EGG CUP ,-36,2010-12-10 14:03:00,1.25,15514.0,United Kingdom
24160,C538341,22988,SOLDIERS EGG CUP ,-12,2010-12-10 14:03:00,1.25,15514.0,United Kingdom
108591,545554,22988,missing,-70,2011-03-03 15:12:00,0.0,nan,United Kingdom
147794,549139,22988,missing,-91,2011-04-06 15:26:00,0.0,nan,United Kingdom
235890,C557646,22988,SOLDIERS EGG CUP ,-13,2011-06-21 17:11:00,1.06,17306.0,United Kingdom
239551,C558060,22988,SOLDIERS EGG CUP ,-1,2011-06-24 15:05:00,1.06,17809.0,United Kingdom
320572,C565023,22988,SOLDIERS EGG CUP ,-24,2011-08-31 16:30:00,1.06,12901.0,United Kingdom
329649,C565848,22988,SOLDIERS EGG CUP ,-1,2011-09-07 12:48:00,1.25,14606.0,United Kingdom
352940,C567704,22988,SOLDIERS EGG CUP ,-12,2011-09-22 09:41:00,1.25,17716.0,United Kingdom
360581,C568237,22988,SOLDIERS EGG CUP ,-12,2011-09-26 11:59:00,1.25,13481.0,United Kingdom
533832,C581117,22988,SOLDIERS EGG CUP ,-1,2011-12-07 12:24:00,1.25,16393.0,United Kingdom
142270,C548564,20750,RED RETROSPOT MINI CASES,-1,2011-04-01 10:22:00,7.95,12616.0,France
184596,C552701,20750,RED RETROSPOT MINI CASES,-1,2011-05-10 15:58:00,7.95,16094.0,United Kingdom
225300,C556647,20750,RED RETROSPOT MINI CASES,-2,2011-06-13 16:14:00,7.95,13012.0,United Kingdom
394069,C570867,20750,RED RETROSPOT MINI CASES,-2,2011-10-12 16:17:00,7.95,12607.0,USA
29062,C538698,22952,60 CAKE CASES VINTAGE CHRISTMAS,-24,2010-12-14 10:21:00,0.55,13329.0,United Kingdom
74273,C542413,22952,60 CAKE CASES VINTAGE CHRISTMAS,-24,2011-01-27 17:11:00,0.55,16923.0,United Kingdom
